date,total_events,conflict_war_count,econ_policy_count,government_political_count,civil_unrest_protest_count,diplomatic_relations_count,avg_goldstein_scale,avg_tone
2016-02-18,122870,25253,51440,38875,3586,28811,1.7079930014384037,-1.7558538994825796
2016-02-19,120159,25846,50905,37913,3577,27583,1.5403606913220096,-1.8063283684932394
2016-02-20,84717,20342,37906,26026,2652,18008,1.1429960971280102,-2.0284747001196162
2016-02-21,77954,18733,34628,24134,2655,16454,1.0961143798580035,-2.0083317001053795
2016-02-22,109797,22615,46220,34743,3466,25210,1.6873967460803545,-1.7222215479199205
2016-02-23,119069,23661,50530,37452,3426,27505,1.8698292643942864,-1.7188339420151577
2016-02-24,120712,22720,50089,39137,3830,27526,1.9813050980197082,-1.5618197580845241
2016-02-25,120708,22817,50058,39176,3820,27518,1.9749163341426621,-1.6215398664605147
2016-02-26,115528,23542,49419,36963,3684,25314,1.7465843899937177,-1.7961669455752056
2016-02-27,81197,19312,35691,25706,2943,16737,1.1020616739115157,-2.0397322040314565
2016-02-28,73197,18210,32529,24014,2463,14112,0.96665575909273,-1.9841783822164136
2016-02-29,107677,22197,45197,35987,3340,23001,1.6830066064554194,-1.6041942690885407
2016-03-01,116307,23579,48863,37689,3835,25800,1.7226065676548132,-1.6304878671273786
2016-03-02,120383,23201,49147,40860,3866,26372,1.8743958864623758,-1.5687471331985656
2016-03-03,119148,23562,49183,38479,4085,27315,1.7745014603686169,-1.6831776521723631
2016-03-04,111528,21547,45475,35894,3943,26105,1.8284152858474998,-1.650467937245538
2016-03-05,73769,15444,30980,23431,2782,16495,1.5259756808415443,-1.8173719553605021
2016-03-06,71865,14952,30428,23305,2838,15210,1.5199151186251985,-1.752447392761127
2016-03-07,107674,21415,44281,34893,3788,24576,1.7223350112376243,-1.663956684769903
2016-03-08,114878,22745,47195,37271,4018,26289,1.7306002890022465,-1.6234293387071435
2016-03-09,119209,24438,50295,38387,4339,26106,1.6394584301520858,-1.6209808908129633
2016-03-10,117886,23665,49221,38211,4052,26309,1.7352603362570624,-1.6088268273560784
2016-03-11,107217,20559,44345,34945,3781,24033,1.8512857102884828,-1.6286944129385148
2016-03-12,73799,15967,31566,23093,3073,15982,1.3663897884795184,-1.9839559253632639
2016-03-13,69417,16656,30584,21495,2794,14492,1.020048403128917,-2.04871933584681
2016-03-14,111857,24133,48229,34446,4325,24732,1.4512860169680926,-1.89230725553293
2016-03-15,121796,24989,53275,38110,3985,26302,1.7605758809813123,-1.7728712422241197
2016-03-16,120552,23263,50608,39244,3937,26644,1.8936118853274928,-1.5860555129243987
